iter	Passed	Remaining
544	3992	3333
545	4000	3326
546	4007	3318
547	4015	3312
548	4022	3304
549	4029	3297
550	4036	3289
551	4044	3282
552	4051	3274
553	4058	3267
554	4066	3260
555	4074	3253
556	4083	3247
557	4089	3239
558	4097	3232
559	4104	3224
560	4112	3217
561	4118	3209
562	4125	3201
563	4132	3194
564	4140	3187
565	4148	3181
566	4155	3173
567	4162	3166
568	4169	3158
569	4176	3150
570	4183	3142
571	4190	3135
572	4199	3129
573	4205	3121
574	4213	3114
575	4220	3106
576	4228	3099
577	4235	3092
578	4242	3084
579	4250	3077
580	4257	3070
581	4265	3063
582	4272	3055
583	4280	3048
584	4287	3041
585	4295	3034
586	4303	3027
587	4311	3021
588	4319	3014
589	4328	3007
590	4335	3000
591	4342	2992
592	4349	2985
593	4356	2977
594	4363	2970
595	4370	2962
596	4378	2955
597	4384	2947
598	4392	2940
599	4401	2934
600	4408	2926
601	4415	2919
602	4422	2911
603	4430	2904
604	4438	2898
605	4447	2891
606	4455	2884
607	4461	2876
608	4468	2868
609	4476	2861
610	4482	2853
611	4488	2845
612	4495	2838
613	4504	2831
614	4513	2825
615	4523	2819
616	4532	2813
617	4541	2807
618	4550	2800
619	4560	2794
620	4568	2788
621	4577	2781
622	4586	2775
623	4597	2770
624	4605	2763
625	4614	2756
626	4622	2750
627	4631	2743
628	4639	2736
629	4649	2730
630	4657	2723
631	4668	2718
632	4678	2712
633	4686	2705
634	4701	2702
635	4712	2697
636	4722	2691
637	4732	2685
638	4743	2679
639	4752	2673
640	4761	2666
641	4769	2659
642	4778	2653
643	4787	2646
644	4795	2639
645	4804	2632
646	4811	2625
647	4819	2617
648	4826	2610
649	4833	2602
650	4840	2595
651	4847	2587
652	4854	2579
653	4861	2572
654	4869	2564
655	4876	2557
656	4882	2549
657	4890	2541
658	4897	2534
659	4905	2527
660	4912	2519
661	4919	2511
662	4925	2503
663	4933	2496
664	4939	2488
665	4946	2480
666	4954	2473
667	4961	2465
668	4969	2458
669	4976	2450
670	4983	2443
671	4989	2435
672	4996	2427
673	5002	2419
674	5012	2413
675	5019	2405
676	5026	2398
677	5033	2390
678	5039	2382
679	5046	2374
680	5053	2367
681	5060	2359
682	5067	2351
683	5073	2343
684	5080	2336
685	5086	2328
686	5092	2320
687	5100	2313
688	5106	2305
689	5114	2297
690	5121	2290
691	5127	2282
692	5134	2274
693	5141	2267
694	5148	2259
695	5155	2251
696	5163	2244
697	5170	2237
698	5178	2229
699	5185	2222
700	5192	2214
701	5199	2207
702	5206	2199
703	5215	2192
704	5222	2185
705	5229	2177
706	5237	2170
707	5246	2163
708	5253	2156
709	5260	2148
710	5268	2141
711	5275	2134
712	5291	2130
713	5310	2127
714	5324	2122
715	5330	2114
716	5337	2106
717	5344	2098
718	5351	2091
719	5358	2083
720	5364	2075
721	5372	2068
722	5381	2061
723	5390	2054
724	5397	2047
725	5404	2039
726	5412	2032
727	5419	2024
728	5427	2017
729	5434	2010
730	5441	2002
731	5448	1994
732	5455	1987
733	5461	1979
734	5468	1971
735	5475	1964
736	5481	1956
737	5487	1948
738	5493	1940
739	5502	1933
740	5509	1925
741	5516	1918
742	5522	1910
743	5530	1902
744	5535	1894
745	5542	1887
746	5548	1879
747	5555	1871
748	5563	1864
749	5569	1856
750	5574	1848
751	5581	1840
752	5588	1833
753	5595	1825
754	5603	1818
755	5609	1810
756	5615	1802
757	5622	1795
758	5630	1787
759	5638	1780
